tconst,titleType,averageRating,numVotes
tt0030755,movie,6.7,2132
tt0030764,movie,7.0,2568
tt0030824,movie,6.6,2333
tt0030848,movie,6.8,2749
tt0030865,movie,7.1,2110
tt0030944,movie,7.1,4203
tt0030993,movie,7.8,27969
tt0031022,movie,7.3,7490
tt0031047,movie,7.3,8195
tt0031060,movie,6.8,6482
tt0031066,movie,6.3,2854
tt0031067,movie,7.5,4624
tt0031088,movie,7.5,6542
tt0031143,movie,7.1,3785
tt0031173,movie,6.7,2143
tt0031210,movie,7.4,12428
tt0031225,movie,7.6,12588
tt0031235,movie,7.1,5782
tt0031252,movie,7.0,6812
tt0031260,movie,7.2,3737
tt0031314,movie,7.1,2366
tt0031322,movie,6.7,5755
tt0031334,movie,7.4,6600
tt0031359,movie,7.3,5310
tt0031377,movie,6.8,2188
tt0031381,movie,8.2,335096
tt0031385,movie,7.9,11621
tt0031397,movie,6.6,4863
tt0031398,movie,7.2,12827
tt0031448,movie,7.4,11721
tt0031455,movie,7.8,12316
tt0031477,movie,7.0,3553
tt0031491,movie,6.6,2918
tt0031500,movie,6.8,3440
tt0031505,movie,6.3,11223
tt0031507,movie,7.0,4968
tt0031514,movie,7.7,8291
tt0031516,movie,6.9,2558
tt0031580,movie,7.1,6758
tt0031593,movie,7.3,6454
tt0031602,movie,6.3,4121
tt0031647,movie,7.8,5622
tt0031679,movie,8.1,121644
tt0031725,movie,7.8,22972
tt0031742,movie,7.8,6884
tt0031747,movie,6.4,2658
tt0031750,movie,7.4,4067
tt0031754,movie,7.7,2253
tt0031762,movie,7.6,15712
tt0031826,movie,7.0,6179
tt0031835,movie,6.9,2307
tt0031851,movie,5.7,2564
tt0031867,movie,7.9,15607
tt0031885,movie,7.9,31415
tt0031951,movie,7.1,11743
tt0031968,movie,6.9,2467
tt0031971,movie,7.8,53970
tt0031983,movie,6.9,2794
tt0032007,movie,6.5,3627
tt0032022,movie,6.8,2596
tt0032049,movie,6.6,2238
tt0032080,movie,7.1,3393
tt0032138,movie,8.1,429766
tt0032143,movie,7.7,14946
tt0032145,movie,7.5,19822
tt0032155,movie,7.5,9193
tt0032156,movie,7.8,4412
tt0032181,movie,7.3,2068
tt0032194,movie,7.4,5399
tt0032215,movie,4.6,2071
tt0032234,movie,7.1,7819
tt0032247,movie,6.5,2338
tt0032258,movie,6.3,2888
tt0032273,movie,7.0,3833
tt0032284,movie,7.3,2795
tt0032285,movie,7.0,3199
tt0032338,movie,7.4,4282
tt0032339,movie,7.2,4312
tt0032342,movie,7.2,2716
tt0032376,movie,6.8,3092
tt0032383,movie,6.7,3058
tt0032390,movie,5.4,3463
tt0032412,movie,6.4,2897
tt0032455,movie,7.7,104270
tt0032467,movie,6.6,2013
tt0032484,movie,7.4,23798
tt0032520,movie,7.0,4173
tt0032536,movie,6.8,5838
tt0032551,movie,8.1,100213
tt0032553,movie,8.4,237917
tt0032554,movie,7.3,4423
tt0032599,movie,7.8,63334
tt0032617,movie,7.4,3831
tt0032635,movie,6.5,5326
tt0032637,movie,6.0,3376
tt0032653,movie,5.0,3372
tt0032671,movie,6.9,4063
tt0032676,movie,6.7,2159
tt0032701,movie,7.5,14638
tt0032728,movie,6.9,4939
tt0032762,movie,7.5,11018
tt0032811,movie,7.7,6113
tt0032818,movie,6.0,4721
tt0032828,movie,6.8,3071
tt0032842,movie,7.2,5615
tt0032851,movie,7.0,3914
tt0032881,movie,6.5,2982
tt0032904,movie,7.9,74027
tt0032910,movie,7.5,160314
tt0032943,movie,7.4,9245
tt0032976,movie,8.1,147151
tt0032981,movie,7.6,7207
tt0032983,movie,6.6,3694
tt0032993,movie,6.6,4095
tt0033021,movie,6.2,4175
tt0033022,movie,7.1,3091
tt0033028,movie,7.6,10786
tt0033045,movie,8.0,38672
tt0033105,movie,6.9,2999
tt0033107,movie,6.8,4621
tt0033149,movie,7.2,8865
tt0033152,movie,7.4,14551
tt0033226,movie,6.8,2977
tt0033238,movie,7.7,10957
tt0033253,movie,7.3,6857
tt0033373,movie,7.7,14127
tt0033388,movie,6.5,5474
tt0033397,movie,6.1,2090
tt0033405,movie,6.8,3150
tt0033407,movie,6.9,2298
tt0033432,movie,6.9,3738
tt0033436,movie,7.0,4739
tt0033467,movie,8.3,466917
tt0033477,movie,7.0,2471
tt0033532,movie,7.6,5645
tt0033533,movie,7.6,4792
tt0033537,movie,6.5,2063
tt0033553,movie,6.8,9891
tt0033563,movie,7.2,142432
tt0033627,movie,7.3,7695
tt0033654,movie,7.2,2689
tt0033677,movie,7.0,4356
tt0033704,movie,7.4,3509
tt0033712,movie,7.5,7408
tt0033717,movie,7.5,19308
tt0033722,movie,7.3,2814
tt0033723,movie,7.3,4275
tt0033729,movie,7.7,26604
tt0033740,movie,7.1,5397
tt0033754,movie,6.7,3221
tt0033760,movie,5.2,2603
tt0033774,movie,7.0,3431
tt0033787,movie,5.2,2512
tt0033804,movie,7.7,23442
tt0033836,movie,7.9,13149
tt0033852,movie,7.4,3446
tt0033870,movie,8.0,166925
tt0033873,movie,7.2,6451
tt0033874,movie,7.5,8990
tt0033891,movie,7.6,14949
tt0033922,movie,6.3,11343
tt0033945,movie,7.0,2646
tt0033987,movie,6.8,2263
tt0034012,movie,7.0,8091
tt0034055,movie,6.0,2098
tt0034091,movie,6.7,3829
tt0034116,movie,6.7,3378
tt0034162,movie,7.5,4423
tt0034167,movie,7.7,19832
tt0034172,movie,7.2,6915
tt0034175,movie,6.6,2970
tt0034182,movie,6.9,2593
tt0034236,movie,7.2,4280
tt0034240,movie,7.9,28588
tt0034248,movie,7.3,42592
tt0034251,movie,7.0,2128
tt0034266,movie,6.4,3175
tt0034272,movie,7.2,5073
tt0034274,movie,6.6,2999
tt0034277,movie,7.2,6940
tt0034297,movie,6.4,2577
tt0034303,movie,6.8,3434
tt0034384,movie,6.7,3288
tt0034398,movie,7.2,30817
tt0034399,movie,7.2,3802
tt0034409,movie,6.7,2876
tt0034415,movie,6.7,3465
tt0034428,movie,6.8,5460
tt0034449,movie,7.1,4949
tt0034478,movie,7.3,3658
tt0034492,movie,7.3,154489
tt0034493,movie,7.7,3061
